Skill,Employees_Missing,Severity
Structured query language SQL,500,HIGH
Blackbaud The Raiser's Edge,500,HIGH
Cascading style sheets CSS,500,HIGH
Autodesk AutoCAD,500,HIGH
Reading Comprehension,500,HIGH
FileMaker Pro,500,HIGH
Microsoft Windows,500,HIGH
Social media sites,500,HIGH
Corel WordPerfect Office Suite,500,HIGH
Adobe After Effects,500,HIGH
IBM Notes,500,HIGH
SmugMug Flickr,500,HIGH
Adobe InDesign,500,HIGH
Google Drive,500,HIGH
Cisco Webex,500,HIGH
LexisNexis,500,HIGH
Marketo Marketing Automation,500,HIGH
Oracle Eloqua,500,HIGH
Microsoft Access,500,HIGH
Facebook,500,HIGH
LinkedIn,500,HIGH
Adobe Illustrator,500,HIGH
Microsoft Dynamics,500,HIGH
Microsoft Office software,500,HIGH
Microsoft SQL Server,500,HIGH
Email software,500,HIGH
Microsoft Visio,500,HIGH
Microsoft SharePoint,500,HIGH
IBM Domino,500,HIGH
Microsoft PowerPoint,500,HIGH
Active Listening,500,HIGH
JavaScript,500,HIGH
Google Ads,500,HIGH
Microsoft Publisher,500,HIGH
Critical Thinking,500,HIGH
Blackboard software,500,HIGH
Oracle Java,500,HIGH
Speaking,500,HIGH
Adobe Photoshop,500,HIGH
Adobe ActionScript,500,HIGH
Web browser software,500,HIGH
Adobe Dreamweaver,500,HIGH
Google Docs,500,HIGH
Salesforce software,500,HIGH
Apple macOS,500,HIGH
YouTube,500,HIGH
Microsoft Outlook,500,HIGH
Adobe Acrobat,500,HIGH
SAP software,500,HIGH
Monitoring,500,HIGH
Nearpod,500,HIGH
Writing,500,HIGH
Adobe Creative Cloud software,500,HIGH
Oracle PeopleSoft,500,HIGH
Hypertext markup language HTML,500,HIGH
Slack,500,HIGH
Microsoft Project,500,HIGH
Python,464,HIGH
Linux,460,HIGH
StataCorp Stata,428,HIGH
IBM SPSS Statistics,428,HIGH
Tax software,428,HIGH
SAP Crystal Reports,428,HIGH
Graphics software,428,HIGH
PHP,428,HIGH
Document management system software,428,HIGH
Evernote,428,HIGH
Scheduling software,428,HIGH
Microsoft Internet Explorer,428,HIGH
Sage 50 Accounting,428,HIGH
Apple Safari,428,HIGH
Oracle Hyperion,428,HIGH
Data entry software,428,HIGH
Geographic information system GIS software,428,HIGH
Database software,428,HIGH
Google Meet,428,HIGH
Microsoft Visual Basic,428,HIGH
MicroStrategy,428,HIGH
Intuit QuickBooks,428,HIGH
NetSuite ERP,428,HIGH
Minitab,428,HIGH
Extensible markup language XML,428,HIGH
Oracle Business Intelligence Enterprise Edition,428,HIGH
Qlik Tech QlikView,428,HIGH
Epic Systems,428,HIGH
Tableau,428,HIGH
IBM Power Systems software,428,HIGH
Teradata Database,428,HIGH
Microsoft Dynamics GP,428,HIGH
Oracle Database,428,HIGH
Human resource management software HRMS,428,HIGH
Oracle PeopleSoft Financials,428,HIGH
Oracle E-Business Suite Financials,428,HIGH
IBM Cognos Impromptu,428,HIGH
MySQL,428,HIGH
SAP Business Objects,428,HIGH
Loom,428,HIGH
SAS,428,HIGH
Oracle Taleo,428,HIGH
Oracle JD Edwards EnterpriseOne,428,HIGH
R,428,HIGH
Mozilla Firefox,428,HIGH
Atlassian JIRA,428,HIGH
Citrix cloud computing software,428,HIGH
Oracle Primavera Enterprise Project Portfolio Management,428,HIGH
Oracle Fusion Applications,428,HIGH
